"Source","Target","Bytes","SourceSHA256","TargetSHA256","Status"
"Assets\Art\Sound\boss_chop_big_knife_twice.WAV","Assets\Game\Audio\ColorTiming\boss_chop_big_knife_twice.WAV","614478","78031811312E72993648AB9BCE5A8E00B775EB1FEDA63371E27496013F7C6903","78031811312E72993648AB9BCE5A8E00B775EB1FEDA63371E27496013F7C6903","Same"
"Assets\Art\Sound\boss_chop_big_knife_twice.WAV.meta","Assets\Game\Audio\ColorTiming\boss_chop_big_knife_twice.WAV.meta","485","9F618211D11CF42C91B17AAF1DCBB394B3023A35AD7413177C4D9CBDAAE8B088","9F618211D11CF42C91B17AAF1DCBB394B3023A35AD7413177C4D9CBDAAE8B088","Same"
"Assets\Art\Sound\boss_escaping_walk.WAV","Assets\Game\Audio\ColorTiming\boss_escaping_walk.WAV","188494","AADB23C34AD544B1F92F8ACEC651CBC53AD65CC54E6319D24DD1F2F9721C7195","AADB23C34AD544B1F92F8ACEC651CBC53AD65CC54E6319D24DD1F2F9721C7195","Same"
"Assets\Art\Sound\boss_escaping_walk.WAV.meta","Assets\Game\Audio\ColorTiming\boss_escaping_walk.WAV.meta","485","B4759CD7B6DA4D35AA934D3876FE82EFF5885D1530953860CD3B3EEF64738D32","B4759CD7B6DA4D35AA934D3876FE82EFF5885D1530953860CD3B3EEF64738D32","Same"
"Assets\Art\Sound\boss_eyes_light.WAV","Assets\Game\Audio\ColorTiming\boss_eyes_light.WAV","127054","909E8D4995B84E8ACDB6CD82626CE488F8D5B6A35DF8194F64B44BFA8843055B","909E8D4995B84E8ACDB6CD82626CE488F8D5B6A35DF8194F64B44BFA8843055B","Same"
"Assets\Art\Sound\boss_eyes_light.WAV.meta","Assets\Game\Audio\ColorTiming\boss_eyes_light.WAV.meta","485","2399238E356A268D89139191676841AD3D7BACEB908D4600D4CC391FAB89DD16","2399238E356A268D89139191676841AD3D7BACEB908D4600D4CC391FAB89DD16","Same"
"Assets\Art\Sound\boss_fast_stab_with_the_tail.WAV","Assets\Game\Audio\ColorTiming\boss_fast_stab_with_the_tail.WAV","536654","B90A5AAF41B3A2CA4A498E2C82D4F81761426892B5611B88A4C46075BE0CCAE3","B90A5AAF41B3A2CA4A498E2C82D4F81761426892B5611B88A4C46075BE0CCAE3","Same"
"Assets\Art\Sound\boss_fast_stab_with_the_tail.WAV.meta","Assets\Game\Audio\ColorTiming\boss_fast_stab_with_the_tail.WAV.meta","485","2DF06ED968457519B23B7FF6AC4DCDFC9C235BFD3533FB0DC577E541F345FAC5","2DF06ED968457519B23B7FF6AC4DCDFC9C235BFD3533FB0DC577E541F345FAC5","Same"
"Assets\Art\Sound\boss_hack_needle.WAV","Assets\Game\Audio\ColorTiming\boss_hack_needle.WAV","237646","E7EFC24690B11FAC2D0ABE3E30D688C64F455C98A97FAB55A10675A29BC2071F","E7EFC24690B11FAC2D0ABE3E30D688C64F455C98A97FAB55A10675A29BC2071F","Same"
"Assets\Art\Sound\boss_hack_needle.WAV.meta","Assets\Game\Audio\ColorTiming\boss_hack_needle.WAV.meta","485","7FBBF88259AD53BF5ECBD62705894A2F8E317BB5C152F4E9758E862525BDEA46","7FBBF88259AD53BF5ECBD62705894A2F8E317BB5C152F4E9758E862525BDEA46","Same"
"Assets\Art\Sound\boss_head_gnaw.WAV","Assets\Game\Audio\ColorTiming\boss_head_gnaw.WAV","385102","D4B892A77A6EA73C3FED3B5DFE3E46DA848EACA36D8D6E85F1E43F1442CFCDB3","D4B892A77A6EA73C3FED3B5DFE3E46DA848EACA36D8D6E85F1E43F1442CFCDB3","Same"
"Assets\Art\Sound\boss_head_gnaw.WAV.meta","Assets\Game\Audio\ColorTiming\boss_head_gnaw.WAV.meta","485","C3285AFD52659287CD3775B2F962B3ABDB9ABD50976C0281DF7A2C4215C90154","C3285AFD52659287CD3775B2F962B3ABDB9ABD50976C0281DF7A2C4215C90154","Same"
"Assets\Art\Sound\boss_head_hiding_in_the_ground.WAV","Assets\Game\Audio\ColorTiming\boss_head_hiding_in_the_ground.WAV","385102","4FD6142C20E4F2E9A63353419C02CEDAA3D9F4EAD4C572D2ECC5BC2C04A78387","4FD6142C20E4F2E9A63353419C02CEDAA3D9F4EAD4C572D2ECC5BC2C04A78387","Same"
"Assets\Art\Sound\boss_head_hiding_in_the_ground.WAV.meta","Assets\Game\Audio\ColorTiming\boss_head_hiding_in_the_ground.WAV.meta","485","63E27A3C3CE2A66B21E2E67D17D0EAED459F12C13DABA093B161FA68F702EF0B","63E27A3C3CE2A66B21E2E67D17D0EAED459F12C13DABA093B161FA68F702EF0B","Same"
"Assets\Art\Sound\boss_head_out_of_the_soil.WAV","Assets\Game\Audio\ColorTiming\boss_head_out_of_the_soil.WAV","196686","7752AAE50E3C0F4014EE73483955066958D33EFAAD75999C1D70471D421EFC71","7752AAE50E3C0F4014EE73483955066958D33EFAAD75999C1D70471D421EFC71","Same"
"Assets\Art\Sound\boss_head_out_of_the_soil.WAV.meta","Assets\Game\Audio\ColorTiming\boss_head_out_of_the_soil.WAV.meta","485","B386A6DA156BC360F2FB8E689C2AC0A924CF9F167969A2357F5E190448419939","B386A6DA156BC360F2FB8E689C2AC0A924CF9F167969A2357F5E190448419939","Same"
"Assets\Art\Sound\boss_head_shoot_the_ball.wav","Assets\Game\Audio\ColorTiming\boss_head_shoot_the_ball.wav","933732","AE2DA1B0A707BCE1C7B01BEFC1D67E1214A31A85C36297E7050055412C18BDAE","AE2DA1B0A707BCE1C7B01BEFC1D67E1214A31A85C36297E7050055412C18BDAE","Same"
"Assets\Art\Sound\boss_head_shoot_the_ball.wav.meta","Assets\Game\Audio\ColorTiming\boss_head_shoot_the_ball.wav.meta","485","8EE52411650411D950C71E19A7035679C797A4B54A6699E038CD5608A3255A78","8EE52411650411D950C71E19A7035679C797A4B54A6699E038CD5608A3255A78","Same"
"Assets\Art\Sound\boss_jab_needle.WAV","Assets\Game\Audio\ColorTiming\boss_jab_needle.WAV","143438","B4931C8C3F47E06A0DC41CC6AD64AB38534A30AB01D2E6ADFDB86F4F25C2C1FE","B4931C8C3F47E06A0DC41CC6AD64AB38534A30AB01D2E6ADFDB86F4F25C2C1FE","Same"
"Assets\Art\Sound\boss_jab_needle.WAV.meta","Assets\Game\Audio\ColorTiming\boss_jab_needle.WAV.meta","485","5291853A5165837125D577425FB0E70DB979AA84EFEDB2B66C76DFC8085EECA3","5291853A5165837125D577425FB0E70DB979AA84EFEDB2B66C76DFC8085EECA3","Same"
"Assets\Art\Sound\boss_stab_with_the_tail.WAV","Assets\Game\Audio\ColorTiming\boss_stab_with_the_tail.WAV","368718","1CB783248E8F5448209590CBA47AB69DAFA8423C75750A508DD66AC72AC1D189","1CB783248E8F5448209590CBA47AB69DAFA8423C75750A508DD66AC72AC1D189","Same"
"Assets\Art\Sound\boss_stab_with_the_tail.WAV.meta","Assets\Game\Audio\ColorTiming\boss_stab_with_the_tail.WAV.meta","485","D177466D6CC098ECFB7D99FF6A758054AEC85F8D0A683D4853F5D6575BD085E8","D177466D6CC098ECFB7D99FF6A758054AEC85F8D0A683D4853F5D6575BD085E8","Same"
"Assets\Art\Sound\boss_tail_comes_into_the_soil.WAV","Assets\Game\Audio\ColorTiming\boss_tail_comes_into_the_soil.WAV","344142","28C7869EF914F75A04203CB7829DA01CFD3D0DA5378B85CB36CA0099B8364D1A","28C7869EF914F75A04203CB7829DA01CFD3D0DA5378B85CB36CA0099B8364D1A","Same"
"Assets\Art\Sound\boss_tail_comes_into_the_soil.WAV.meta","Assets\Game\Audio\ColorTiming\boss_tail_comes_into_the_soil.WAV.meta","485","F1E5FCE94B63E46CADC48DC614D037A4ECB2046810307DFF907A06EAA950AF9E","F1E5FCE94B63E46CADC48DC614D037A4ECB2046810307DFF907A06EAA950AF9E","Same"
"Assets\Art\Sound\boss_tail_comes_out_of_the_soil.WAV","Assets\Game\Audio\ColorTiming\boss_tail_comes_out_of_the_soil.WAV","385102","65094F04CBF2A31083A73B4B8F17E4DA230D5D53551D24D5084BA557F8AAF1AC","65094F04CBF2A31083A73B4B8F17E4DA230D5D53551D24D5084BA557F8AAF1AC","Same"
"Assets\Art\Sound\boss_tail_comes_out_of_the_soil.WAV.meta","Assets\Game\Audio\ColorTiming\boss_tail_comes_out_of_the_soil.WAV.meta","485","05B2F01D534E6E9FF2A9D41A2CF41078B39F98CF06897285DBD1BC22895EE164","05B2F01D534E6E9FF2A9D41A2CF41078B39F98CF06897285DBD1BC22895EE164","Same"
"Assets\Art\Sound\boss_throat_knife_under_neck.wav","Assets\Game\Audio\ColorTiming\boss_throat_knife_under_neck.wav","326226","153322EBFA88D31AF9FF1A3BA0EE9C1D9DADD874D458E000A6CD7157017E10CB","153322EBFA88D31AF9FF1A3BA0EE9C1D9DADD874D458E000A6CD7157017E10CB","Same"
"Assets\Art\Sound\boss_throat_knife_under_neck.wav.meta","Assets\Game\Audio\ColorTiming\boss_throat_knife_under_neck.wav.meta","485","E265BDABC1684A1D723EB0D382FF6A1F86D2E1A2BDC056CE48EB2AC49AAB7C6F","E265BDABC1684A1D723EB0D382FF6A1F86D2E1A2BDC056CE48EB2AC49AAB7C6F","Same"
"Assets\Art\Sound\bump_head_hitted.wav","Assets\Game\Audio\ColorTiming\bump_head_hitted.wav","77478","00A9339584F3F5F0EEEE529BFD372842C42C796B09C4A7FDE614E4AABD31D267","00A9339584F3F5F0EEEE529BFD372842C42C796B09C4A7FDE614E4AABD31D267","Same"
"Assets\Art\Sound\bump_head_hitted.wav.meta","Assets\Game\Audio\ColorTiming\bump_head_hitted.wav.meta","485","4BC867C3E04C8EE685EBB163476F83DEA2A277CB8E096E9497034C57BF07D29C","4BC867C3E04C8EE685EBB163476F83DEA2A277CB8E096E9497034C57BF07D29C","Same"
"Assets\Art\Sound\charactor_die_001 1.wav","Assets\Game\Audio\ColorTiming\charactor_die_001 1.wav","439848","97C70A039E421E44DC8E9EC8827A7903580A13184B8516DDBDA58C197D2CBE4E","97C70A039E421E44DC8E9EC8827A7903580A13184B8516DDBDA58C197D2CBE4E","Same"
"Assets\Art\Sound\charactor_die_001 1.wav.meta","Assets\Game\Audio\ColorTiming\charactor_die_001 1.wav.meta","485","D3CA2919193094484C8DF1028C64EA957147C0D443919DD614CB00AE0BF004C6","D3CA2919193094484C8DF1028C64EA957147C0D443919DD614CB00AE0BF004C6","Same"
"Assets\Art\Sound\charactor_die_001.WAV","Assets\Game\Audio\ColorTiming\charactor_die_001.WAV","262222","991069C3ED0CB5394C330581331A01D7B5D3C4F4F975244AF663F15651B69FFF","991069C3ED0CB5394C330581331A01D7B5D3C4F4F975244AF663F15651B69FFF","Same"
"Assets\Art\Sound\charactor_die_001.WAV.meta","Assets\Game\Audio\ColorTiming\charactor_die_001.WAV.meta","485","D8072FC200B6740710052DC69BB41377747086EDB21EB08B40019EF617E620E6","D8072FC200B6740710052DC69BB41377747086EDB21EB08B40019EF617E620E6","Same"
"Assets\Art\Sound\charactor_hitted_001-001 1.wav","Assets\Game\Audio\ColorTiming\charactor_hitted_001-001 1.wav","106008","1971E8999F66D51114F82E8CCF84F267C7D07258B60E8DE5469AB97565083757","1971E8999F66D51114F82E8CCF84F267C7D07258B60E8DE5469AB97565083757","Same"
"Assets\Art\Sound\charactor_hitted_001-001 1.wav.meta","Assets\Game\Audio\ColorTiming\charactor_hitted_001-001 1.wav.meta","485","EA8817E9AEF84FFD1774B0A88C732D543EF90B2EE5B702C9CA755391C077EC93","EA8817E9AEF84FFD1774B0A88C732D543EF90B2EE5B702C9CA755391C077EC93","Same"
"Assets\Art\Sound\charactor_hitted_001-001.WAV","Assets\Game\Audio\ColorTiming\charactor_hitted_001-001.WAV","53326","21CA95DD048FFB2D3DF8686A2807636A29F7EC5D8FC12C2D7B087E443FB23518","21CA95DD048FFB2D3DF8686A2807636A29F7EC5D8FC12C2D7B087E443FB23518","Same"
"Assets\Art\Sound\charactor_hitted_001-001.WAV.meta","Assets\Game\Audio\ColorTiming\charactor_hitted_001-001.WAV.meta","485","950B4A1360240F528F7E6E4CE7968CD5E3AF5E8906D9EDA5C54CDCFC136764C9","950B4A1360240F528F7E6E4CE7968CD5E3AF5E8906D9EDA5C54CDCFC136764C9","Same"
"Assets\Art\Sound\charactor_hitted_001-002.WAV","Assets\Game\Audio\ColorTiming\charactor_hitted_001-002.WAV","53326","174E96AA4D9C5729AB91899E40DEBE87CF3012689435AF7605A828744AC4C9C3","174E96AA4D9C5729AB91899E40DEBE87CF3012689435AF7605A828744AC4C9C3","Same"
"Assets\Art\Sound\charactor_hitted_001-002.WAV.meta","Assets\Game\Audio\ColorTiming\charactor_hitted_001-002.WAV.meta","485","0E84ED3BBA060E3F39DCFFB5E334DC47813BAB995C2447DA166C586801CE3773","0E84ED3BBA060E3F39DCFFB5E334DC47813BAB995C2447DA166C586801CE3773","Same"
"Assets\Art\Sound\disarm_weapon.wav","Assets\Game\Audio\ColorTiming\disarm_weapon.wav","137254","98348056748B04A403F26D46D00040BCE9F5A302C7698627441B2D00F768B8AB","98348056748B04A403F26D46D00040BCE9F5A302C7698627441B2D00F768B8AB","Same"
"Assets\Art\Sound\disarm_weapon.wav.meta","Assets\Game\Audio\ColorTiming\disarm_weapon.wav.meta","485","6E720210B54AF9C17F16FC7B1238DEDD8A437A0EAD29BC41F0E85292E3A64953","6E720210B54AF9C17F16FC7B1238DEDD8A437A0EAD29BC41F0E85292E3A64953","Same"
"Assets\Art\Sound\equipping_weapon.wav","Assets\Game\Audio\ColorTiming\equipping_weapon.wav","288690","FEF1885E2A05BC05C21575E3DADBA5AA75E98B30C1297E08F1BA64171E083746","FEF1885E2A05BC05C21575E3DADBA5AA75E98B30C1297E08F1BA64171E083746","Same"
"Assets\Art\Sound\equipping_weapon.wav.meta","Assets\Game\Audio\ColorTiming\equipping_weapon.wav.meta","485","8F5D83C3F0433A71090CBE90419EBB3BC8A07FC50B0675A46459DBAAE3DAE7EB","8F5D83C3F0433A71090CBE90419EBB3BC8A07FC50B0675A46459DBAAE3DAE7EB","Same"
"Assets\Art\Sound\grass_sways_001.WAV","Assets\Game\Audio\ColorTiming\grass_sways_001.WAV","131150","9AD15F91EDC57D6D2DD34252BC3C35A006449BC00C7016DB56C77FD5FB6FF285","9AD15F91EDC57D6D2DD34252BC3C35A006449BC00C7016DB56C77FD5FB6FF285","Same"
"Assets\Art\Sound\grass_sways_001.WAV.meta","Assets\Game\Audio\ColorTiming\grass_sways_001.WAV.meta","485","E788B38D2C7AFC1762234B6444350A394098DDF310F22305C64AFA7EDDBDF987","E788B38D2C7AFC1762234B6444350A394098DDF310F22305C64AFA7EDDBDF987","Same"
"Assets\Art\Sound\grass_sways-001.WAV","Assets\Game\Audio\ColorTiming\grass_sways-001.WAV","131150","9AD15F91EDC57D6D2DD34252BC3C35A006449BC00C7016DB56C77FD5FB6FF285","9AD15F91EDC57D6D2DD34252BC3C35A006449BC00C7016DB56C77FD5FB6FF285","Same"
"Assets\Art\Sound\grass_sways-001.WAV.meta","Assets\Game\Audio\ColorTiming\grass_sways-001.WAV.meta","485","B24D77914C9FA06D81E5815D0CCC72CD1645A0B89946328B5B36AEA86E505F01","B24D77914C9FA06D81E5815D0CCC72CD1645A0B89946328B5B36AEA86E505F01","Same"
"Assets\Art\Sound\grass_sways-002.WAV","Assets\Game\Audio\ColorTiming\grass_sways-002.WAV","131150","B6FC94CE9CAE50685B7419AA8349C873AF9A4D187BEEFDDFB3995C5867A19BE6","B6FC94CE9CAE50685B7419AA8349C873AF9A4D187BEEFDDFB3995C5867A19BE6","Same"
"Assets\Art\Sound\grass_sways-002.WAV.meta","Assets\Game\Audio\ColorTiming\grass_sways-002.WAV.meta","485","A39437390B87181723FBDD7025B0E12AE75C76234F9973B73962AD958B8F5806","A39437390B87181723FBDD7025B0E12AE75C76234F9973B73962AD958B8F5806","Same"
"Assets\Art\Sound\grass_sways-003.WAV","Assets\Game\Audio\ColorTiming\grass_sways-003.WAV","131150","E6F15696E3DA234265B71687E28DC010A976BB63BFD2A8E1D89219FEDAFA50CF","E6F15696E3DA234265B71687E28DC010A976BB63BFD2A8E1D89219FEDAFA50CF","Same"
"Assets\Art\Sound\grass_sways-003.WAV.meta","Assets\Game\Audio\ColorTiming\grass_sways-003.WAV.meta","485","7EBD78F8EADC369DE2B92A1E5614FE323D0FBB416BEA15ECCC08ABF5B04EF3DF","7EBD78F8EADC369DE2B92A1E5614FE323D0FBB416BEA15ECCC08ABF5B04EF3DF","Same"
"Assets\Art\Sound\grass_walk_001.WAV","Assets\Game\Audio\ColorTiming\grass_walk_001.WAV","36942","8AEC5CE6896EA5F865832F2442E54223C6CB6CEA62937FB278AD183A230C6A89","8AEC5CE6896EA5F865832F2442E54223C6CB6CEA62937FB278AD183A230C6A89","Same"
"Assets\Art\Sound\grass_walk_001.WAV.meta","Assets\Game\Audio\ColorTiming\grass_walk_001.WAV.meta","485","7F66D169C71E30E3EA5DB21AA1A957A7218FAA24C845CA624EC74C474944A416","7F66D169C71E30E3EA5DB21AA1A957A7218FAA24C845CA624EC74C474944A416","Same"
"Assets\Art\Sound\grass_walk_002.WAV","Assets\Game\Audio\ColorTiming\grass_walk_002.WAV","36942","B2C37C99F8F2865CE283B4C90D1D98511091F2E5340C176ED2CFFB792929053C","B2C37C99F8F2865CE283B4C90D1D98511091F2E5340C176ED2CFFB792929053C","Same"
"Assets\Art\Sound\grass_walk_002.WAV.meta","Assets\Game\Audio\ColorTiming\grass_walk_002.WAV.meta","485","FE6593F1E17C81B6A932737D7B0422B2EEC31EBDD2F61973EE631CAACA8A559E","FE6593F1E17C81B6A932737D7B0422B2EEC31EBDD2F61973EE631CAACA8A559E","Same"
"Assets\Art\Sound\grass_walk_003.WAV","Assets\Game\Audio\ColorTiming\grass_walk_003.WAV","36942","D2EC59E5174E6F4BD6ABEF49497201D642945C20386969E450079B69885F74B7","D2EC59E5174E6F4BD6ABEF49497201D642945C20386969E450079B69885F74B7","Same"
